"V1","V2","period","Fee"
16,4,"2008-2011",8.1
16,14,"2008-2011",5.58
18,16,"2008-2011",13.5
21,16,"2008-2011",14.5
36,16,"2008-2011",8.37
40,16,"2008-2011",36.09
41,16,"2008-2011",12.38
42,16,"2008-2011",0.27
46,16,"2008-2011",11.48
74,16,"2008-2011",0.5
82,16,"2008-2011",15.03
95,16,"2008-2011",9
99,16,"2008-2011",0.5
101,16,"2008-2011",0.5
105,16,"2008-2011",18.27
107,16,"2008-2011",0.5
136,16,"2008-2011",0.5
138,16,"2008-2011",1.08
141,16,"2008-2011",0.5
155,16,"2008-2011",0.5
157,16,"2008-2011",0.495
165,16,"2008-2011",5.05
171,16,"2008-2011",3.74
176,16,"2008-2011",1.53
200,16,"2008-2011",0.5
224,16,"2008-2011",0.5
16,4,"2012-2015",9
16,5,"2012-2015",11.7
16,13,"2012-2015",0.36
21,16,"2012-2015",4.87
30,16,"2012-2015",11.34
36,16,"2012-2015",14.13
39,16,"2012-2015",27
46,16,"2012-2015",117.9
50,16,"2012-2015",0.5
62,16,"2012-2015",7.34
70,16,"2012-2015",4.5
89,16,"2012-2015",9.45
90,16,"2012-2015",6.3
91,16,"2012-2015",17.75
113,16,"2012-2015",0.5
116,16,"2012-2015",27
123,16,"2012-2015",0.5
128,16,"2012-2015",7.74
133,16,"2012-2015",5.31
135,16,"2012-2015",14.4
136,16,"2012-2015",28.4
145,16,"2012-2015",4.41
149,16,"2012-2015",23.4
157,16,"2012-2015",27
158,16,"2012-2015",1.58
171,16,"2012-2015",0.5
178,16,"2012-2015",9.9
180,16,"2012-2015",5.4
220,16,"2012-2015",1
221,16,"2012-2015",7.25
229,16,"2012-2015",32.45
236,16,"2012-2015",14.4
245,16,"2012-2015",0.5
247,16,"2012-2015",0.5
253,16,"2012-2015",8.24
275,16,"2012-2015",8.01
283,16,"2012-2015",12.6
